film_name,film_year,film_rate,link,poster
How to Lose a Guy in 10 Days,2003,3.78,https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/,https://a.ltrbxd.com/resized/sm/upload/t0/2v/iy/9c/aiB7u6xZ9RWeDTQ7c92J8AoiHj3-0-70-0-105-crop.jpg?v=422ef264f8
Spider-Man: Homecoming,2017,3.48,https://letterboxd.com/film/spider-man-homecoming/,https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-70-0-105-crop.jpg?v=61e8c57229
The Holdovers,2023,4.25,https://letterboxd.com/film/the-holdovers/,https://a.ltrbxd.com/resized/film-poster/7/5/5/5/6/4/755564-the-holdovers-0-70-0-105-crop.jpg?v=99bbdd8955
Requiem for a Dream,2000,4.10,https://letterboxd.com/film/requiem-for-a-dream/,https://a.ltrbxd.com/resized/sm/upload/lv/4b/f2/zj/muym4jTjdLx7E6as09d1wlC3sOB-0-70-0-105-crop.jpg?v=b4d5a4aa37
Drive,2011,3.91,https://letterboxd.com/film/drive-2011/,https://a.ltrbxd.com/resized/sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN.jpg-0-70-0-105-crop.jpg?v=58a476ae28
Bullet Train,2022,3.60,https://letterboxd.com/film/bullet-train/,https://a.ltrbxd.com/resized/film-poster/6/4/1/9/6/1/641961-bullet-train-0-70-0-105-crop.jpg?v=9245faa1ba
Bugonia,2025,3.87,https://letterboxd.com/film/bugonia/,https://a.ltrbxd.com/resized/film-poster/6/2/5/4/0/0/625400-bugonia-0-70-0-105-crop.jpg?v=4c6649150e
Longlegs,2024,3.30,https://letterboxd.com/film/longlegs/,https://a.ltrbxd.com/resized/film-poster/1/1/1/0/0/5/9/1110059-longlegs-0-70-0-105-crop.jpg?v=9d77241a8c
Mad Max: Fury Road,2015,4.17,https://letterboxd.com/film/mad-max-fury-road/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Top Gun: Maverick,2022,3.97,https://letterboxd.com/film/top-gun-maverick/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Don't Look Up,2021,3.03,https://letterboxd.com/film/dont-look-up-2021/,https://a.ltrbxd.com/resized/film-poster/5/7/2/2/5/5/572255-don-t-look-up-0-70-0-105-crop.jpg?v=a58cc4aba2
The Lord of the Rings: The Return of the King,2003,4.54,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,https://a.ltrbxd.com/resized/sm/upload/zs/nt/u4/uz/xieWkPAgQrrk5wOyncayPd65hrp-0-70-0-105-crop.jpg?v=4c89d05285
The Avengers,2012,3.72,https://letterboxd.com/film/the-avengers-2012/,https://a.ltrbxd.com/resized/film-poster/3/6/7/7/8/36778-the-avengers-2012-0-70-0-105-crop.jpg?v=d0e2add158
